gade,postnr,kommune,antal,beholder,tur,fremsætter,lås,type,sæk,adresse,latitude,longitude
A.L. Passagen 1,6000,Kolding,1,"240 l. beh, restaffald","Tur 20, mandag, ugentlig, mad/rest - LILLEBIL",False,False,240,False,"A.L. Passagen 1, 6000 Kolding, danmark",55.4898332,9.4758924
A.L. Passagen 1,6000,Kolding,1,"770 l. con, restaffald","Tur 20, mandag, ugentlig, mad/rest - LILLEBIL",False,False,770,False,"A.L. Passagen 1, 6000 Kolding, danmark",55.4898332,9.4758924
A.L. Passagen 1,6000,Kolding,1,"400 l. con, madaffald","Tur 20, mandag, ugentlig, mad/rest - LILLEBIL",False,False,400,False,"A.L. Passagen 1, 6000 Kolding, danmark",55.4898332,9.4758924
A.L. Passagen 1,6000,Kolding,1,"770 l. con, restaffald","Tur 20, mandag, ugentlig, mad/rest - LILLEBIL",False,False,770,False,"A.L. Passagen 1, 6000 Kolding, danmark",55.4898332,9.4758924
Akseltorv 5,6000,Kolding,1,"660 l. con, restaffald","Tur 20, mandag, ugentlig, mad/rest - LILLEBIL",False,False,660,False,"Akseltorv 5, 6000 Kolding, danmark",55.4907632,9.473909
Akseltorv 5,6000,Kolding,1,"240 l. beh, madaffald","Tur 20, mandag, ugentlig, mad/rest - LILLEBIL",False,False,240,False,"Akseltorv 5, 6000 Kolding, danmark",55.4907632,9.473909
Akseltorv 5,6000,Kolding,1,"400 l. con, madaffald","Tur 20, mandag, ugentlig, mad/rest - LILLEBIL",False,False,400,False,"Akseltorv 5, 6000 Kolding, danmark",55.4907632,9.473909
Akseltorv 5,6000,Kolding,1,"660 l. con, restaffald","Tur 20, mandag, ugentlig, mad/rest - LILLEBIL",False,False,660,False,"Akseltorv 5, 6000 Kolding, danmark",55.4907632,9.473909
Akseltorv 5,6000,Kolding,1,"660 l. con, restaffald","Tur 20, mandag, ugentlig, mad/rest - LILLEBIL",False,False,660,False,"Akseltorv 5, 6000 Kolding, danmark",55.4907632,9.473909
Akseltorv 5,6000,Kolding,1,"660 l. con, restaffald","Tur 20, mandag, ugentlig, mad/rest - LILLEBIL",False,False,660,False,"Akseltorv 5, 6000 Kolding, danmark",55.4907632,9.473909
Akseltorv 5,6000,Kolding,1,"660 l. con, restaffald","Tur 20, mandag, ugentlig, mad/rest - LILLEBIL",False,False,660,False,"Akseltorv 5, 6000 Kolding, danmark",55.4907632,9.473909
Borchs gård 7,6000,Kolding,1,240 l Mr. Fill mad - intillegent,"Tur 20, mandag, ugentlig, mad/rest - LILLEBIL",False,False,240,False,"Borchs gård 7, 6000 Kolding, danmark",55.4894763,9.4726688
Borchs gård 7,6000,Kolding,3,240 l Mr. Fill rest - intillegent,"Tur 20, mandag, ugentlig, mad/rest - LILLEBIL",False,False,240,False,"Borchs gård 7, 6000 Kolding, danmark",55.4894763,9.4726688
Borchs gård 39,6000,Kolding,1,240 l Mr. Fill mad - intillegent,"Tur 20, mandag, ugentlig, mad/rest - LILLEBIL",False,False,240,False,"Borchs gård 39, 6000 Kolding, danmark",55.4895317,9.4735763
Borchs gård 39,6000,Kolding,3,240 l Mr. Fill rest - intillegent,"Tur 20, mandag, ugentlig, mad/rest - LILLEBIL",False,False,240,False,"Borchs gård 39, 6000 Kolding, danmark",55.4895317,9.4735763
Bredgade 15,6000,Kolding,1,"400 l. con, restaffald","Tur 20, mandag, ugentlig, mad/rest - LILLEBIL",False,False,400,False,"Bredgade 15, 6000 Kolding, danmark",55.4885247,9.472363
Bredgade 15,6000,Kolding,1,"140 l. beholder, mad","Tur 20, mandag, ugentlig, mad/rest - LILLEBIL",False,False,140,False,"Bredgade 15, 6000 Kolding, danmark",55.4885247,9.472363
Buen 2,6000,Kolding,1,"660 l. con, restaffald","Tur 20, mandag, ugentlig, mad/rest - LILLEBIL",False,False,660,False,"Buen 2, 6000 Kolding, danmark",55.4896804,9.4779272
Buen 2,6000,Kolding,1,"140 l. beholder, mad","Tur 20, mandag, ugentlig, mad/rest - LILLEBIL",False,False,140,False,"Buen 2, 6000 Kolding, danmark",55.4896804,9.4779272
Buen 2,6000,Kolding,1,"660 l. con, restaffald","Tur 20, mandag, ugentlig, mad/rest - LILLEBIL",False,False,660,False,"Buen 2, 6000 Kolding, danmark",55.4896804,9.4779272
