gade,postnr,kommune,antal,beholder,tur,fremsætter,lås,type,sæk,adresse,latitude,longitude
Bakketoppen 10 A,6000,Kolding,1,"660 l. con, restaffald","Tur 20, torsdag, ugentlig, mad/rest - LILLEBIL",False,False,660,False,"Bakketoppen 10 A, 6000 Kolding, danmark",55.5246654,9.4618854
Bakketoppen 10 A,6000,Kolding,1,"240 l. beh, madaffald","Tur 20, torsdag, ugentlig, mad/rest - LILLEBIL",False,False,240,False,"Bakketoppen 10 A, 6000 Kolding, danmark",55.5246654,9.4618854
Bakketoppen 10 A,6000,Kolding,1,"400 l. con, restaffald","Tur 20, torsdag, ugentlig, mad/rest - LILLEBIL",False,False,400,False,"Bakketoppen 10 A, 6000 Kolding, danmark",55.5246654,9.4618854
Bjerggade 6,6000,Kolding,1,"2-delt 240 l. beh, r/m-sætte f","Tur 20, torsdag, lige, mad/rest - LILLEBIL",True,False,240,False,"Bjerggade 6, 6000 Kolding, danmark",55.4862141,9.4647313
Bjerggade 8,6000,Kolding,1,"2-delt 240 l. beh, r/m-sætte f","Tur 20, torsdag, lige, mad/rest - LILLEBIL",True,False,240,False,"Bjerggade 8, 6000 Kolding, danmark",55.48616209999999,9.4646972
Bjerggade 10,6000,Kolding,1,"2-delt 240 l. beh, r/m-sætte f","Tur 20, torsdag, lige, mad/rest - LILLEBIL",True,False,240,False,"Bjerggade 10, 6000 Kolding, danmark",55.48611959999999,9.464682
Bjerggade 12,6000,Kolding,1,"2-delt 240 l. beh, r/m-sætte f","Tur 20, torsdag, lige, mad/rest - LILLEBIL",True,False,240,False,"Bjerggade 12, 6000 Kolding, danmark",55.4860771,9.4646668
Bjerggade 14,6000,Kolding,1,"2-delt 370 l. beh, r/m-sætte f","Tur 20, torsdag, lige, mad/rest - LILLEBIL",True,False,370,False,"Bjerggade 14, 6000 Kolding, danmark",55.486037,9.4646214
Bjerggade 16,6000,Kolding,1,"2-delt 240 l. beh, rest/mad","Tur 20, torsdag, lige, mad/rest - LILLEBIL",False,False,240,False,"Bjerggade 16, 6000 Kolding, danmark",55.48599919999999,9.4645458
Bjerggade 18,6000,Kolding,1,"2-delt 240 l. beh, rest/mad","Tur 20, torsdag, lige, mad/rest - LILLEBIL",False,False,240,False,"Bjerggade 18, 6000 Kolding, danmark",55.48593779999999,9.4644928
