gade,postnr,kommune,antal,beholder,tur,fremsætter,lås,type,sæk,adresse,latitude,longitude
Agtrup Midtskovvej 108,6091,Bjert,1,"2-delt 370 l. beh, rest/mad","Tur 20, torsdag, ulige, mad/rest - LILLEBIL",False,False,370,False,"Agtrup Midtskovvej 108, 6091 Bjert, danmark",55.49002160000001,9.5584686
Agtrup Midtskovvej 110,6091,Bjert,1,"2-delt 240 l. beh, r/m-sætte f","Tur 20, torsdag, ulige, mad/rest - LILLEBIL",True,False,240,False,"Agtrup Midtskovvej 110, 6091 Bjert, danmark",55.4895647,9.5564986
Agtrup Midtskovvej 112,6091,Bjert,1,"2-delt 240 l. beh, rest/mad","Tur 20, torsdag, ulige, mad/rest - LILLEBIL",False,False,240,False,"Agtrup Midtskovvej 112, 6091 Bjert, danmark",55.486631,9.555844
Bakketoppen 1 A,6000,Kolding,1,"2-delt 240 l. beh, rest/mad","Tur 20, torsdag, ulige, mad/rest - LILLEBIL",False,False,240,False,"Bakketoppen 1 A, 6000 Kolding, danmark",55.5241848,9.4607531
Bakketoppen 1 B,6000,Kolding,1,"2-delt 240 l. beh, rest/mad","Tur 20, torsdag, ulige, mad/rest - LILLEBIL",False,False,240,False,"Bakketoppen 1 B, 6000 Kolding, danmark",55.5242555,9.460405
Bakketoppen 2,6000,Kolding,1,"2-delt 240 l. beh, rest/mad","Tur 20, torsdag, ulige, mad/rest - LILLEBIL",False,False,240,False,"Bakketoppen 2, 6000 Kolding, danmark",55.5241804,9.4620738
Bakketoppen 3 A,6000,Kolding,1,"2-delt 240 l. beh, r/m-sætte f","Tur 20, torsdag, ulige, mad/rest - LILLEBIL",True,False,240,False,"Bakketoppen 3 A, 6000 Kolding, danmark",55.5244303,9.4604052
Bakketoppen 3 A,6000,Kolding,1,"2-delt 240 l. beh, r/m-sætte f","Tur 20, torsdag, ulige, mad/rest - LILLEBIL",True,False,240,False,"Bakketoppen 3 A, 6000 Kolding, danmark",55.5244303,9.4604052
Bakketoppen 3 B,6000,Kolding,1,"2-delt 240 l. beh, rest/mad","Tur 20, torsdag, ulige, mad/rest - LILLEBIL",False,False,240,False,"Bakketoppen 3 B, 6000 Kolding, danmark",55.524728,9.4605115
Bakketoppen 3 C,6000,Kolding,1,"2-delt 240 l. beh, rest/mad","Tur 20, torsdag, ulige, mad/rest - LILLEBIL",False,False,240,False,"Bakketoppen 3 C, 6000 Kolding, danmark",55.5247091,9.4607537
Bakketoppen 4,6000,Kolding,1,"2-delt 370 l. beh, rest/mad","Tur 20, torsdag, ulige, mad/rest - LILLEBIL",False,False,370,False,"Bakketoppen 4, 6000 Kolding, danmark",55.524263,9.4613375
Bakketoppen 10 A,6000,Kolding,1,"660 l. con, restaffald","Tur 20, torsdag, ugentlig, mad/rest - LILLEBIL",False,False,660,False,"Bakketoppen 10 A, 6000 Kolding, danmark",55.5246654,9.4618854
Bakketoppen 10 A,6000,Kolding,1,"240 l. beh, madaffald","Tur 20, torsdag, ugentlig, mad/rest - LILLEBIL",False,False,240,False,"Bakketoppen 10 A, 6000 Kolding, danmark",55.5246654,9.4618854
Bakketoppen 10 A,6000,Kolding,1,"400 l. con, restaffald","Tur 20, torsdag, ugentlig, mad/rest - LILLEBIL",False,False,400,False,"Bakketoppen 10 A, 6000 Kolding, danmark",55.5246654,9.4618854
Binderupvej 6,6091,Bjert,1,"2-delt 370 l. beh, rest/mad","Tur 20, torsdag, ulige, mad/rest - LILLEBIL",False,False,370,False,"Binderupvej 6, 6091 Bjert, danmark",55.45255359999999,9.5577743
Bjert Kirkevej 27,6091,Bjert,1,"2-delt 240 l. beh, rest/mad","Tur 20, torsdag, ulige, mad/rest - LILLEBIL",False,False,240,False,"Bjert Kirkevej 27, 6091 Bjert, danmark",55.4551606,9.5589163
Chr. Winthers Vej 6 D,6000,Kolding,1,"2-delt 240 l. beh, rest/mad","Tur 20, torsdag, ulige, mad/rest - LILLEBIL",False,False,240,False,"Chr. Winthers Vej 6 D, 6000 Kolding, danmark",55.48821299999999,9.4541958
Chr. Winthers Vej 6 E,6000,Kolding,1,"2-delt 240 l. beh, rest/mad","Tur 20, torsdag, ulige, mad/rest - LILLEBIL",False,False,240,False,"Chr. Winthers Vej 6 E, 6000 Kolding, danmark",55.488147,9.4544829
Chr. Winthers Vej 6 F,6000,Kolding,1,"2-delt 240 l. beh, rest/mad","Tur 20, torsdag, ulige, mad/rest - LILLEBIL",False,False,240,False,"Chr. Winthers Vej 6 F, 6000 Kolding, danmark",55.4882132,9.4547551
Chr. Winthers Vej 6 G,6000,Kolding,1,"2-delt 240 l. beh, rest/mad","Tur 20, torsdag, ulige, mad/rest - LILLEBIL",False,False,240,False,"Chr. Winthers Vej 6 G, 6000 Kolding, danmark",55.4883879,9.4547553
Chr. Winthers Vej 6 H,6000,Kolding,1,"2-delt 240 l. beh, rest/mad","Tur 20, torsdag, ulige, mad/rest - LILLEBIL",False,False,240,False,"Chr. Winthers Vej 6 H, 6000 Kolding, danmark",55.4883783,9.4543169
Drachmannsvej 1,6000,Kolding,1,"2-delt 370 l. beh, rest/mad","Tur 20, torsdag, ulige, mad/rest - LILLEBIL",False,False,370,False,"Drachmannsvej 1, 6000 Kolding, danmark",55.4807821,9.4576346
Drachmannsvej 14,6000,Kolding,1,"2-delt 370 l. beh, rest/mad","Tur 20, torsdag, ulige, mad/rest - LILLEBIL",False,False,370,False,"Drachmannsvej 14, 6000 Kolding, danmark",55.4818249,9.457641
